Franchise,Period,Total Cash Inflow,Total Cash Outflow,Net Cash Flow
Type_B,Starting,9840,8940,900
Type_B,Y1M1,9840,8940,900
Type_B,Y1M2,9840,8940,900
Type_B,Y1M3,9840,8940,900
Type_B,Y1M4,9840,8940,900
Type_B,Y1M5,9840,8940,900
Type_B,Y1M6,21840,17340,4500
Type_B,Y1M7,21600,17400,4200
Type_B,Y1M8,21360,17460,3900
Type_B,Y1M9,21120,17520,3600
Type_B,Y1M10,20880,17580,3300
Type_B,Y1M11,20640,17640,3000
Type_B,Y1M12,20400,17700,2700
Type_B,Y2M1,20160,17760,2400
Type_B,Y2M2,19920,17820,2100
Type_B,Y2M3,19680,17880,1800
Type_B,Y2M4,19680,17880,1800
Type_B,Y2M5,19680,17880,1800
Type_B,Y2M6,19680,17880,1800
Type_B,Y2M7,19680,17880,1800
Type_B,Y2M8,19680,17880,1800
Type_B,Y2M9,19680,17880,1800
Type_B,Y2M10,19680,17880,1800
Type_B,Y2M11,19680,17880,1800
Type_B,Y2M12,19680,17880,1800
Type_B,Y3M1,19680,17880,1800
Type_B,Y3M2,19680,17880,1800
Type_B,Y3M3,19680,17880,1800
Type_B,Y3M4,19680,17880,1800
Type_B,Y3M5,19680,17880,1800
Type_B,Y3M6,19680,17880,1800
Type_B,Y3M7,31680,26280,5400
Type_B,Y3M8,31440,26340,5100
Type_B,Y3M9,31200,26400,4800
Type_B,Y3M10,30960,26460,4500
Type_B,Y3M11,30720,26520,4200
Type_B,Y3M12,30480,26580,3900
Type_B,Y4M1,30240,26640,3600
Type_B,Y4M2,30000,26700,3300
Type_B,Y4M3,29760,26760,3000
Type_B,Y4M4,29520,26820,2700
Type_B,Y4M5,29520,26820,2700
Type_B,Y4M6,29520,26820,2700
Type_B,Y4M7,29520,26820,2700
Type_B,Y4M8,29520,26820,2700
Type_B,Y4M9,29520,26820,2700
Type_B,Y4M10,29520,26820,2700
Type_B,Y4M11,29520,26820,2700
Type_B,Y4M12,29520,26820,2700
Type_B,Y5M1,29520,26820,2700
Type_B,Y5M2,29520,26820,2700
Type_B,Y5M3,29520,26820,2700
Type_B,Y5M4,29520,26820,2700
Type_B,Y5M5,29520,26820,2700
Type_B,Y5M6,29520,26820,2700
Type_B,Y5M7,29520,26820,2700
Type_B,Y5M8,29520,26820,2700
Type_B,Y5M9,29520,26820,2700
Type_B,Y5M10,29520,26820,2700
Type_B,Y5M11,29520,26820,2700
Type_B,Y5M12,29520,26820,2700
